first,second
allein,vorzunehmen
vorzunehmen,dabei
dabei,ging
ging,es
es,für
für,mich
mich,um
um,leben
leben,und
und,tod
tod,ich
ich,hatte
hatte,trinkwasser
trinkwasser,für
für,knapp
knapp,acht
acht,tage
tage,am
am,ersten
ersten,abend
abend,schlief
schlief,ich
ich,im
im,sand
sand,ein
ein,tausende
tausende,meilen
meilen,entfernt
entfernt,von
von,besiedeltem
besiedeltem,gebiet
gebiet,ich
ich,war
war,viel
viel,abgeschiedener
abgeschiedener,als
als,ein
ein,schiffbrüchiger
schiffbrüchiger,mitten
mitten,im
im,ozean
ozean,so
so,könnt
könnt,ihr
ihr,euch
euch,vorstellen
vorstellen,wie
wie,überrascht
überrascht,ich
ich,war
war,als
als,ich
ich,bei
bei,sonnenaufgang
sonnenaufgang,von
von,einer
einer,leisen
leisen,lustigen
lustigen,stimme
stimme,geweckt
geweckt,wurde
wurde,und
und,die
die,sagte
sagte,bitte
bitte,zeichne
zeichne,mir
mir,ein
ein,schaf
schaf,wie
wie,bitte
bitte,zeichne
zeichne,mir
mir,ein
ein,schaf
schaf,ich
ich,sprang
sprang,auf
auf,als
als,wäre
wäre,ich
ich,vom
vom,blitz
blitz,getroffen
getroffen,worden
worden,ich
ich,rieb
rieb,mir
mir,die
die,augen
augen,und
und,schaute
schaute,genau
genau,hin
hin,und
und,ich
ich,sah
sah,ein
ein,außergewöhnliches
außergewöhnliches,kleines
kleines,kerlchen
kerlchen,das
das,mich
mich,ernst
ernst,betrachtete
betrachtete,hier
hier,das
das,beste
beste,porträt
porträt,das
das,ich
ich,später
später,von
von,ihm
ihm,zu
zu,stande
stande,brachte
brachte,aber
aber,natürlich
natürlich,ist
ist,meine
meine,zeichnung
zeichnung,weit
weit,weniger
weniger,bezaubernd
bezaubernd,als
als,das
das,original
original,das
das,ist
ist,nicht
nicht,meine
meine,schuld
schuld,die
die,großen
großen,haben
haben,mich
mich,von
von,meiner
meiner,malerkarriere
malerkarriere,abgebracht
abgebracht,als
als,ich
ich,sechs
sechs,jahre
jahre,alt
alt,war
war,sodass
sodass,ich
ich,nichts
nichts,zu
zu,zeichnen
zeichnen,gelernt
gelernt,hatte
hatte,als
als,geschlossene
geschlossene,und
und,offene
offene,riesenschlangen
riesenschlangen,ich
ich,schaute
schaute,also
also,voller
voller,verwunderung
verwunderung,mit
mit,aufgerissenen
aufgerissenen,augen
augen,auf
auf,diese
diese,erscheinung
erscheinung,vergesst
vergesst,nicht
nicht,ich
ich,war
war,tausend
tausend,meilen
meilen,entfernt
entfernt,von
von,jeglichem
jeglichem,besiedelten
besiedelten,gebiet
gebiet,dabei
dabei,schien
schien,mir
mir,das
das,kleine
kleine,kerlchen
kerlchen,weder
weder,verirrt
verirrt,noch
noch,todmüde
todmüde,weder
weder,hungrig
hungrig,oder
oder,durstig
durstig,noch
noch,todängstlich
todängstlich,es
es,wirkte
wirkte,ganz
ganz,und
und,gar
gar,nicht
nicht,wie
wie,ein
ein,kind
kind,verloren
verloren,inmitten
inmitten,der
der,wüste
wüste,tausend
tausend,meilen
meilen,entfernt
entfernt,von
von,jeglicher
jeglicher,zivilisation
zivilisation,als
als,ich
ich,mich
mich,endlich
endlich,gefasst
gefasst,hatte
hatte,sagte
sagte,ich
ich,aber
aber,was
was,machst
machst,du
du,denn
denn,hier
hier,da
da,wiederholte
wiederholte,er
er,ganz
ganz,sacht
sacht,als
als,handele
handele,es
es,sich
sich,um
um,eine
eine,sehr
sehr,ernstzunehmende
ernstzunehmende,angelegenheit
angelegenheit,bitte
bitte,zeichne
zeichne,mir
mir,ein
ein,schaf
schaf,bei
bei,etwas
etwas,so
so,beeindruckend
beeindruckend,rätselhaftem
rätselhaftem,wagt
wagt,man
man,nicht
nicht,zu
zu,widersprechen
widersprechen,so
so,absurd
absurd,es
es,mir
mir,erschien
erschien,holte
holte,ich
ich,tausend
tausend,meilen
meilen,entfernt
entfernt,von
von,jeder
jeder,zivilisation
zivilisation,meinen
meinen,farbstift
farbstift,hervor
hervor,ein
ein,blatt
blatt,papier
papier,und
und,einen
einen,füller
füller,ich
ich,erinnerte
