first,second
abbildungen,möglichst
möglichst,wahrheitsgetreu
wahrheitsgetreu,zu
zu,zeichnen
zeichnen,aber
aber,ich
ich,bin
bin,nicht
nicht,sicher
sicher,ob
ob,ich
ich,es
es,schaffe
schaffe,das
das,eine
eine,bild
bild,gelingt
gelingt,das
das,andere
andere,hat
hat,schon
schon,keine
keine,ähnlichkeit
ähnlichkeit,mehr
mehr,auch
auch,mit
mit,der
der,größe
größe,liege
liege,ich
ich,ein
ein,bisschen
bisschen,falsch
falsch,hier
hier,ist
ist,der
der,kleine
kleine,prinz
prinz,zu
zu,groß
groß,da
da,ist
ist,er
er,zu
zu,klein
klein,auch
auch,zögere
zögere,ich
ich,bei
bei,der
der,farbe
farbe,seiner
seiner,kleidung
kleidung,ich
ich,versuche
versuche,es
es,mal
mal,so
so,und
und,mal
mal,so
so,eben
eben,so
so,gut
gut,es
es,geht
geht,ich
ich,werde
werde,mich
mich,bestimmt
bestimmt,bei
bei,einigen
einigen,viel
viel,wichtigeren
wichtigeren,details
details,täuschen
täuschen,aber
aber,das
das,muss
muss,man
man,mir
mir,nachsehen
nachsehen,mein
mein,freund
freund,gab
gab,mir
mir,nie
nie,irgendwelche
irgendwelche,erklärungen
erklärungen,er
er,glaubte
glaubte,vielleicht
vielleicht,ich
ich,sei
sei,ihm
ihm,ähnlich
ähnlich,aber
aber,ich
ich,weiß
weiß,nicht
nicht,wie
wie,man
man,durch
durch,kistenbretter
kistenbretter,hindurch
hindurch,schafe
schafe,sieht
sieht,vielleicht
vielleicht,bin
bin,ich
ich,doch
doch,schon
schon,ein
ein,bisschen
bisschen,wie
wie,die
die,erwachsenen
erwachsenen,ich
ich,muss
muss,älter
älter,geworden
geworden,sein
sein,jeden
jeden,tag
tag,lernte
lernte,ich
ich,etwas
etwas,über
über,den
den,planeten
planeten,über
über,den
den,abschied
abschied,über
über,die
die,reise
reise,das
das,kam
kam,nach
nach,und
und,nach
nach,durch
durch,zufällige
zufällige,überlegungen
überlegungen,auf
auf,diese
diese,weise
weise,erfuhr
erfuhr,ich
ich,am
am,dritten
dritten,tag
tag,von
von,der
der,tragödie
tragödie,mit
mit,den
den,affenbrotbäumen
affenbrotbäumen,auch
auch,das
das,geschah
geschah,dank
dank,eines
eines,schafs
schafs,denn
denn,plötzlich
plötzlich,fragte
fragte,mich
mich,der
der,kleine
kleine,prinz
prinz,wie
wie,von
von,einem
einem,schlimmen
schlimmen,zweifel
zweifel,überkommen
überkommen,es
es,ist
ist,doch
doch,wahr
wahr,dass
dass,schafe
schafe,sträucher
sträucher,fressen
fressen,oder
oder,ja
ja,das
das,ist
ist,wahr
wahr,ah
ah,da
da,bin
bin,ich
ich,froh
froh,ich
ich,verstand
verstand,nicht
nicht,warum
warum,es
es,so
so,wichtig
wichtig,war
war,dass
dass,schafe
schafe,sträucher
sträucher,fressen
fressen,aber
aber,der
der,kleine
kleine,prinz
prinz,fügte
fügte,hinzu
hinzu,also
also,fressen
fressen,sie
sie,auch
auch,affenbrotbäume
affenbrotbäume,ich
ich,wies
wies,den
den,kleinen
kleinen,prinzen
prinzen,darauf
darauf,hin
hin,dass
dass,affenbrotbäume
affenbrotbäume,keine
keine,sträucher
sträucher,seien
seien,sondern
sondern,bäume
bäume,so
so,groß
groß,wie
wie,kirchen
kirchen,und
und,selbst
selbst,wenn
wenn,er
er,sich
sich,eine
eine,ganze
ganze,herde
herde,elefanten
elefanten,mitnehmen
mitnehmen,würde
würde,so
so,würde
würde,die
die,herde
herde,nicht
nicht,an
an,einen
einen,einzigen
einzigen,affenbrotbaum
affenbrotbaum,heranreichen
heranreichen,über
über,die
die,idee
idee,mit
mit,den
den,elefanten
elefanten,musste
musste,der
der,kleine
kleine,prinz
prinz,lachen
lachen,man
man,müsste
müsste,sie
sie,übereinander
übereinander,stapeln
stapeln,aber
aber,dann
dann,bemerkte
bemerkte,er
er,weise
weise,bevor
bevor,die
die,affenbrotbäume
affenbrotbäume,wachsen
wachsen,sind
sind,sie
sie,doch
doch,erst
erst,klein
klein,das
das,stimmt
stimmt,aber
aber,warum
warum,möchtest
möchtest,du
du,dass
dass,deine
deine,schafe
schafe,die
die,kleinen
kleinen,affenbrotbäume
affenbrotbäume,fressen
fressen,er
er,antwortete
antwortete,schon
schon,gut
gut,wir
wir,werden
werden,ja
ja,sehen
sehen,als
als,ginge
ginge,es
es,um
um,eine
eine,selbstverständlichkeit
selbstverständlichkeit,und
und,es
es,kostete
kostete,mich
mich,ganz
ganz,schön
schön,viel
viel,intelligenz
intelligenz,um
um,dieses
dieses,problem
problem,allein
allein,zu
zu,verstehen
verstehen,es
es,gab
gab,auf
auf,dem
dem,planeten
planeten,des
des,kleinen
kleinen,prinzen
prinzen,wie
wie,auf
auf,jedem
jedem,planeten
planeten,natürlich
natürlich,gute
gute,und
und,schlechte
schlechte,pflanzen
pflanzen,daher
daher,gab
gab,es
es,auch
auch,gute
gute,samen
samen,von
von,guten
guten,pflanzen
pflanzen,und
und,schlechte
schlechte,samen
samen,von
von,schlechten
schlechten,pflanzen
pflanzen,aber
aber,samen
samen,sind
sind,unsichtbar
unsichtbar,sie
sie,schlafen
schlafen,verborgen
verborgen,in
in,der
der,erde
erde,bis
bis,aus
aus,einer
einer,laune
laune,heraus
heraus,ein
ein,korn
korn,erwacht
erwacht,es
es,reckt
reckt,sich
sich,und
und,schiebt
schiebt,ganz
ganz,schüchtern
schüchtern,noch
noch,einen
einen,entzückenden
entzückenden,kleinen
kleinen,ganz
ganz,harmlosen
harmlosen,halm
halm,der
der,sonne
sonne,entgegen
entgegen,handelt
handelt,es
es,sich
sich,um
um,den
den,trieb
trieb,eines
eines,radieschens
radieschens,oder
oder,einer
einer,rose
rose,dann
dann,kann
kann,man
man,ihn
ihn,so
so,wachsen
wachsen,lassen
lassen,wie
wie,es
es,ihm
ihm,gefällt
gefällt,aber
aber,wenn
wenn,es
es,sich
sich,um
um,unkraut
unkraut,handelt
handelt,dann
dann,muss
muss,man
man,die
die,pflanze
pflanze,umgehend
umgehend,herausreißen
herausreißen,sobald
sobald,man
man,sie
sie,entdeckt
entdeckt,hat
hat,nun
nun,gab
gab,es
es,schreckliche
schreckliche,samenkörner
samenkörner,auf
auf,dem
dem,planeten
planeten,des
des,kleinen
kleinen,prinzen
prinzen,es
es,waren
waren,die
die,samen
samen,der
der,affenbrotbäume
affenbrotbäume,der
der,boden
boden,des
des,planeten
planeten,war
war,davon
davon,übersät
übersät,so
so,einen
einen,affenbrotbaum
affenbrotbaum,wird
wird,man
man,nicht
nicht,mehr
mehr,los
los,wenn
wenn,man
man,sich
sich,zu
zu,spät
spät,darum
darum,kümmert
kümmert,er
er,befällt
befällt,den
den,ganzen
ganzen,planeten
planeten,er
er,durchbohrt
durchbohrt,ihn
ihn,mit
mit,seinen
seinen,wurzeln
wurzeln,und
und,wenn
wenn,der
der,planet
planet,zu
zu,klein
klein,ist
ist,und
und,die
die,affenbrotbäume
affenbrotbäume,zu
zu,zahlreich
zahlreich,werden
werden,dann
dann,sprengen
sprengen,sie
sie,ihn
ihn,das
das,ist
ist,eine
eine,frage
frage,der
der,disziplin
disziplin,sagte
sagte,mir
mir,später
später,der
der,kleine
kleine,prinz
prinz,wenn
wenn,man
man,morgens
morgens,aus
aus,dem
dem,bad
bad,kommt
kommt,dann
dann,muss
muss,man
man,auch
auch,den
den,planeten
planeten,säubern
säubern,man
man,muss
muss,sich
sich,dazu
dazu,zwingen
zwingen,die
die,affenbrotbäume
affenbrotbäume,regelmäßig
regelmäßig,herauszureißen
herauszureißen,sobald
sobald,man
man,sie
sie,von
von,den
den,rosen
rosen,unterscheiden
unterscheiden,kann
kann,denen
denen,sie
sie,in
in,jungem
jungem,alter
alter,sehr
sehr,ähneln
ähneln,es
es,ist
ist,eine
eine,nervige
nervige,aber
aber,ziemlich
ziemlich,einfache
einfache,arbeit
arbeit,und
und,eines
eines,tages
tages,riet
riet,er
er,mir
mir,mich
mich,doch
doch,zu
zu,bemühen
bemühen,eine
eine,schöne
schöne,zeichnung
zeichnung,zu
zu,stande
stande,zu
zu,bringen
bringen,damit
damit,die
die,kinder
kinder,bei
bei,mir
mir,zuhause
zuhause,es
es,sich
sich,einprägten
einprägten,wenn
wenn,sie
sie,eines
eines,tages
tages,reisen
reisen,sagte
sagte,er
er,mir
mir,kann
kann,ihnen
ihnen,das
das,helfen
helfen,manchmal
manchmal,passiert
passiert,nichts
nichts,schlimmes
schlimmes,wenn
wenn,man
man,eine
eine,pflicht
pflicht,erst
erst,später
später,erledigt
erledigt,aber
aber,wenn
wenn,es
es,sich
sich,um
um,affenbrotbäume
affenbrotbäume,handelt
handelt,dann
dann,ist
ist,es
es,immer
immer,eine
eine,katastrophe
katastrophe,ich
ich,kannte
kannte,einen
einen,planeten
planeten,auf
auf,dem
dem,ein
ein,faulpelz
faulpelz,wohnte
wohnte,er
er,hatte
hatte,drei
drei,sträucher
sträucher,einfach
einfach,nicht
nicht,beachtet
beachtet,nach
nach,den
den,beschreibungen
beschreibungen,des
des,kleinen
kleinen,prinzen
prinzen,zeichnete
zeichnete,ich
ich,diesen
diesen,planeten
planeten,ungern
ungern,klinge
klinge,ich
ich,wie
wie,ein
ein,moralapostel
moralapostel,aber
aber,wie
wie,gefähr
gefähr,lich
lich,affenbrotbäume
affenbrotbäume,sind
sind,ist
ist,so
so,wenig
wenig,bekannt
bekannt,und
und,die
die,risiken
risiken,für
für,jemanden
jemanden,der
der,sich
sich,auf
auf,einen
einen,asteroiden
asteroiden,verirrt
verirrt,sind
sind,so
so,groß
groß,dass
dass,ich
ich,einmal
einmal,eine
eine,ausnahme
ausnahme,mache
mache,ich
ich,sage
sage,kinder
kinder,vorsicht
vorsicht,vor
vor,affenbrotbäumen
affenbrotbäumen,um
um,meine
meine,freunde
freunde,vor
vor,dieser
dieser,unbekannten
unbekannten,gefahr
gefahr,zu
zu,warnen
warnen,der
der,sie
sie,ebenso
ebenso,wie
wie,ich
ich,bislang
bislang,stets
stets,knapp
knapp,entkommen
entkommen,waren
waren,für
für,die
die,erkenntnis
erkenntnis,aber
aber,hat
hat,es
es,sich
sich,gelohnt
gelohnt,ihr
ihr,fragt
fragt,euch
euch,vielleicht
vielleicht,warum
warum,gibt
gibt,es
es,in
in,diesem
diesem,buch
buch,nicht
nicht,noch
noch,andere
andere,so
so,großartige
großartige,bilder
bilder,wie
wie,jenes
jenes,mit
mit,den
den,affenbrotbäumen
affenbrotbäumen,die
die,antwort
antwort,ist
ist,einfach
einfach,ich
ich,habe
habe,es
es,versucht
versucht,aber
aber,es
es,ist
ist,mir
mir,missglückt
missglückt,beim
beim,zeichnen
zeichnen,der
der,affenbrotbäume
affenbrotbäume,hatte
hatte,ich
ich,jedoch
jedoch,das
das,gefühl
gefühl,es
es,sei
sei,wirklich
wirklich,dringend
dringend,ach
ach,kleiner
kleiner,prinz
prinz,nach
nach,und
und,nach
nach,habe
habe,ich
ich,so
so,dein
dein,kleines
kleines,trauriges
trauriges,leben
leben,verstanden
verstanden,lange
lange,zeit
zeit,blieb
blieb,dir
dir,nur
nur,die
die,lieblichkeit
lieblichkeit,der
der,sonnenuntergänge
sonnenuntergänge,um
um,dich
dich,zu
zu,zerstreuen
zerstreuen,dieses
dieses,detail
detail,erfuhr
erfuhr,ich
ich,am
am,morgen
morgen,des
des,vierten
vierten,tages
tages,als
als,du
du,mir
mir,sagtest
sagtest,ich
ich,mag
mag,sonnenuntergänge
sonnenuntergänge,lass
lass,uns
uns,einen
einen,sonnenuntergang
sonnenuntergang,anschauen
anschauen,aber
aber,man
man,muss
muss,warten
warten,worauf
worauf,denn
denn,warten
warten,darauf
darauf,dass
dass,die
die,sonne
sonne,untergeht
untergeht,du
du,wirktest
wirktest,zunächst
zunächst,sehr
sehr,überrascht
überrascht,aber
aber,musstest
musstest,dann
dann,selbst
selbst,lachen
lachen,und
und,du
du,hast
hast,zu
zu,mir
mir,gesagt
gesagt,ich
ich,glaube
glaube,immer
immer,noch
noch,ich
ich,sei
sei,bei
bei,mir
mir,tatsächlich
tatsächlich,wenn
wenn,es
es,in
in,den
den,vereinigten
vereinigten,staaten
staaten,von
von,amerika
amerika,mittagszeit
mittagszeit,ist
ist,das
das,weiß
weiß,ja
ja,jeder
jeder,dann
dann,geht
geht,in
in,frankreich
frankreich,die
die,sonne
sonne,unter
unter,man
man,müsste
müsste,innerhalb
innerhalb,einer
einer,minute
minute,nach
nach,frankreich
frankreich,gelangen
gelangen,können
können,um
um,den
den,sonnenuntergang
sonnenuntergang,dort
dort,zu
zu,sehen
sehen,leider
leider,ist
ist,frankreich
frankreich,viel
viel,zu
zu,weit
weit,entfernt
entfernt,aber
aber,auf
auf,deinem
deinem,kleinen
kleinen,planeten
planeten,da
da,musst
musst,du
du,nur
nur,den
den,stuhl
stuhl,um
um,ein
ein,paar
paar,schritte
schritte,verrücken
verrücken,und
und,schon
schon,siehst
siehst,du
du,die
die,abenddämmerung
abenddämmerung,wann
wann,immer
immer,du
du,willst
willst,einmal
einmal,hab
hab,ich
ich,die
die,sonne
sonne,dreiundvierzig
dreiundvierzig,mal
mal,untergehen
untergehen,sehen
sehen,und
und,ein
ein,wenig
wenig,später
später,fügtest
fügtest,du
du,hinzu
hinzu,weißt
weißt,du
du,wenn
wenn,man
man,sehr
sehr,traurig
traurig,ist
ist,dann
dann,liebt
liebt,man
man,sonnenuntergänge
sonnenuntergänge,also
also,warst
warst,du
du,an
an,dem
dem,tag
tag,mit
mit,den
den,dreiundvierzig
dreiundvierzig,mal
mal,besonders
besonders,traurig
traurig,aber
aber,der
der,kleine
kleine,prinz
prinz,antwortete
antwortete,nicht
nicht,am
am,fünften
fünften,tag
tag,kam
kam,ich
ich,wieder
wieder,einmal
einmal,dank
dank,des
des,schafes
schafes,hinter
hinter,ein
ein,weiteres
weiteres,geheimnis
geheimnis,im
im,leben
leben,des
des,kleinen
kleinen,prinzen
prinzen,ohne
ohne,umschweife
umschweife,fragte
fragte,er
er,mich
mich,geradeheraus
geradeheraus,als
als,pflücke
pflücke,er
er,die
die,frucht
frucht,eines
eines,lange
lange,im
im,stillen
stillen,gereiften
gereiften,problems
problems,wenn
wenn,ein
ein,schaf
schaf,sträucher
sträucher,frisst
frisst,dann
dann,also
also,auch
auch,blumen
blumen,ein
ein,schaf
schaf,frisst
frisst,einfach
einfach,alles
alles,was
was,es
es,findet
findet,selbst
selbst,wenn
wenn,die
die,blumen
blumen,dornen
dornen,haben
haben,ja
ja,selbst
selbst,blumen
blumen,mit
mit,dornen
dornen,wozu
wozu,dienen
dienen,dann
dann,diese
diese,dornen
dornen,ich
ich,wusste
wusste,es
es,nicht
nicht,unterdessen
unterdessen,war
war,ich
ich,mit
mit,dem
dem,versuch
versuch,beschäftigt
beschäftigt,an
an,meinem
meinem,motor
motor,einen
einen,bolzen
bolzen,zu
zu,lockern
lockern,der
der,zu
zu,festgezogen
festgezogen,war
war,ich
ich,war
war,sehr
sehr,besorgt
besorgt,denn
denn,langsam
langsam,schien
schien,mir
mir,meine
meine,panne
panne,doch
doch,sehr
sehr,ernst
ernst,und
und,das
das,zur
zur,neige
neige,gehende
gehende,trinkwasser
trinkwasser,ließ
ließ,mich
mich,das
das,schlimmste
schlimmste,befürchten
befürchten,wozu
wozu,sind
sind,die
die,dornen
dornen,gut
gut,der
der,kleine
kleine,prinz
prinz,ließ
ließ,nie
nie,von
von,einer
einer,frage
frage,ab
ab,wenn
wenn,er
er,sie
sie,einmal
einmal,gestellt
gestellt,hatte
hatte,ich
ich,war
war,von
von,meinem
meinem,bolzen
bolzen,abgelenkt
abgelenkt,und
und,so
so,antwortete
antwortete,ich
ich,einfach
einfach,irgendetwas
irgendetwas,die
die,dornen
dornen,sind
sind,zu
zu,überhaupt
überhaupt,nichts
nichts,nutze
nutze,die
die,blumen
blumen,lassen
lassen,sie
sie,nur
nur,aus
aus,gemeinheit
gemeinheit,wachsen
wachsen,oh
oh,aber
aber,nach
nach,einem
einem,augenblick
augenblick,stille
stille,da
da,erwiderte
erwiderte,er
er,verärgert
verärgert,ich
ich,glaube
glaube,dir
dir,nicht
nicht,blumen
blumen,sind
sind,schwach
schwach,sie
sie,sind
sind,leichtgläubig
leichtgläubig,sie
sie,schützen
schützen,sich
sich,nur
nur,so
so,gut
gut,sie
sie,können
können,mit
mit,den
den,dornen
dornen,glauben
glauben,sie
sie,sehen
sehen,sie
sie,gefährlich
gefährlich,aus
aus,ich
ich,antwortete
antwortete,nichts
nichts,sondern
sondern,sagte
sagte,mir
mir,in
in,diesem
diesem,augenblick
augenblick,wenn
wenn,dieser
dieser,bolzen
bolzen,nicht
nicht,nachgibt
nachgibt,muss
muss,ich
ich,ihn
ihn,mit
mit,dem
dem,hammer
hammer,herauslösen
herauslösen,wieder
wieder,unterbrach
unterbrach,der
der,kleine
kleine,prinz
prinz,meine
meine,überlegungen
überlegungen,und
und,du
du,glaubst
glaubst,dass
dass,diese
diese,blumen
blumen,aber
aber,nein
nein,aber
aber,nein
nein,ich
ich,glaube
glaube,gar
gar,nichts
nichts,ich
ich,habe
habe,nur
nur,irgendwas
irgendwas,geantwortet
geantwortet,ich
ich,muss
muss,mich
mich,hier
hier,um
um,wichtige
wichtige,dinge
dinge,kümmern
kümmern,er
er,schaute
schaute,mich
mich,erstaunt
erstaunt,an
an,um
um,wichtige
wichtige,dinge
dinge,er
er,sah
sah,mich
mich,an
an,wie
wie,ich
ich,den
den,hammer
hammer,in
in,der
der,hand
hand,und
und,mit
mit,ölverschmierten
ölverschmierten,händen
händen,über
über,einem
einem,ding
ding,hing
hing,das
das,ihm
ihm,ausgesprochen
ausgesprochen,hässlich
hässlich,erscheinen
erscheinen,musste
musste,du
du,sprichst
sprichst,wie
wie,die
die,erwachsenen
erwachsenen,das
das,beschämte
beschämte,mich
mich,etwas
etwas,aber
aber,er
er,fügte
fügte,noch
noch,unerbittlich
unerbittlich,hinzu
hinzu,du
du,verwechselst
verwechselst,alles
alles,du
du,bringst
bringst,alles
alles,durcheinander
durcheinander,er
er,war
war,wirklich
wirklich,sehr
sehr,aufgebracht
aufgebracht,er
er,schüttelte
schüttelte,sein
sein,goldenes
goldenes,haar
haar,im
im,wind
wind,es
es,gibt
gibt,einen
einen,mann
mann,mit
mit,hochrotem
hochrotem,kopf
kopf,er
er,hat
hat,noch
noch,nie
nie,den
den,duft
duft,einer
einer,blume
blume,gerochen
gerochen,er
er,hat
hat,noch
noch,niemals
niemals,einen
einen,stern
stern,betrachtet
betrachtet,er
er,hat
hat,noch
noch,niemals
niemals,jemanden
jemanden,geliebt
geliebt,nie
nie,hat
hat,er
er,etwas
etwas,anderes
anderes,getan
getan,als
als,zahlen
zahlen,zu
zu,addieren
addieren,und
und,den
den,ganzen
ganzen,tag
tag,wiederholt
wiederholt,er
er,so
so,wie
wie,du
du,ich
ich,bin
bin,ein
ein,ernstzunehmender
ernstzunehmender,mann
mann,ich
ich,bin
bin,ein
ein,wichtiger
wichtiger,mann
mann,und
und,damit
damit,brüstet
brüstet,er
er,sich
sich,voller
voller,hochmut
hochmut,aber
aber,er
er,ist
ist,gar
gar,kein
kein,mann
mann,er
er,ist
ist,ein
ein,pilz
pilz,ein
ein,was
was,bitte
bitte,ein
ein,pilz
pilz,der
der,kleine
kleine,prinz
prinz,war
war,vor
vor,zorn
zorn,nun
nun,ganz
ganz,bleich
bleich,geworden
geworden,seit
seit,tausenden
tausenden,jahren
jahren,lassen
lassen,blumen
blumen,dornen
dornen,wachsen
wachsen,seit
seit,tausenden
tausenden,jahren
jahren,fressen
fressen,die
die,schafe
schafe,die
die,blumen
blumen,trotzdem
trotzdem,und
und,es
es,soll
soll,nicht
nicht,wichtig
wichtig,sein
sein,verstehen
verstehen,zu
zu,wollen
wollen,warum
warum,sie
sie,sich
sich,so
so,mühsam
mühsam,dornen
dornen,wachsen
wachsen,lassen
lassen,die
die,zu
zu,gar
gar,nichts
nichts,nutze
nutze,sind
sind,dieser
dieser,krieg
krieg,zwischen
zwischen,schafen
schafen,und
und,blumen
blumen,soll
soll,nicht
nicht,wichtig
wichtig,sein
sein,das
das,ist
ist,nicht
nicht,ernstzunehmender
ernstzunehmender,und
und,wichtiger
wichtiger,als
als,die
die,berechnungen
berechnungen,eines
eines,dicken
dicken,rotbäckigen
rotbäckigen,mannes
mannes,und
und,wenn
wenn,ich
ich,eine
eine,blume
blume,kenne
kenne,die
die,es
es,nur
nur,ein
ein,mal
mal,auf
auf,dieser
dieser,welt
welt,gibt
gibt,nirgends
nirgends,außer
außer,auf
auf,meinem
meinem,planeten
planeten,und
und,wenn
wenn,nun
nun,ein
ein,kleines
kleines,schaf
schaf,eines
eines,morgens
morgens,diese
diese,blume
blume,einfach
einfach,so
so,mit
mit,einem
einem,biss
biss,vernichten
vernichten,kann
kann,ohne
ohne,zu
zu,wissen
wissen,was
was,es
es,tut
tut,dann
dann,soll
soll,das
das,nicht
nicht,wichtig
wichtig,sein
sein,er
er,lief
lief,ganz
ganz,rot
rot,an
an,und
und,fuhr
fuhr,dann
dann,fort
fort,wenn
wenn,jemand
jemand,eine
eine,blume
blume,liebt
liebt,die
die,es
es,auf
auf,zig
zig,millionen
millionen,sternen
sternen,nur
nur,ein
ein,einziges
einziges,mal
mal,gibt
gibt,dann
dann,reicht
reicht,ihm
ihm,ein
ein,blick
blick,zu
zu,ihnen
ihnen,hinauf
hinauf,um
um,glücklich
glücklich,zu
zu,sein
sein,er
er,sagt
sagt,sich
sich,irgendwo
irgendwo,dort
dort,ist
ist,meine
meine,blume
blume,aber
aber,wenn
wenn,das
das,schaf
schaf,die
die,blume
blume,frisst
frisst,so
so,ist
ist,es
es,für
für,ihn
ihn,so
so,als
als,seien
seien,ganz
ganz,plötzlich
plötzlich,alle
alle,sterne
sterne,verschwunden
verschwunden,und
und,das
das,soll
soll,nicht
nicht,wichtig
wichtig,sein
sein,mehr
mehr,brachte
brachte,er
er,nicht
nicht,hervor
hervor,er
er,fing
fing,auf
auf,einmal
einmal,an
an,zu
zu,schluchzen
schluchzen,die
die,nacht
nacht,war
war,hereingebrochen
hereingebrochen,ich
ich,hatte
hatte,mein
mein,werkzeug
werkzeug,beiseitegelegt
beiseitegelegt,mein
mein,hammer
hammer,mein
mein,bolzen
bolzen,der
der,durst
durst,und
und,der
der,hunger
hunger,erschienen
erschienen,mir
mir,auf
auf,einmal
einmal,albern
albern,es
es,gab
gab,auf
auf,einem
einem,stern
stern,auf
auf,einem
einem,planeten
planeten,auf
auf,meinem
meinem,planeten
planeten,der
der,erde
erde,einen
einen,kleinen
kleinen,prinzen
prinzen,zu
zu,trösten
trösten,ich
ich,nahm
nahm,ihn
ihn,in
in,die
die,arme
arme,ich
ich,wiegte
wiegte,ihn
ihn,ich
ich,sagte
sagte,zu
zu,ihm
ihm,deine
deine,geliebte
geliebte,blume
blume,ist
ist,nicht
nicht,in
in,gefahr
gefahr,ich
ich,werde
werde,deinem
deinem,schaf
schaf,einen
einen,maulkorb
maulkorb,zeichnen
zeichnen,ich
ich,zeichne
zeichne,dir
dir,eine
eine,rüstung
rüstung,für
für,deine
deine,blume
blume,ich
ich,ich
ich,wusste
wusste,wirklich
wirklich,nicht
nicht,was
was,ich
ich,sagen
sagen,sollte
sollte,ich
ich,fühlte
fühlte,mich
mich,sehr
sehr,schlecht
schlecht,ich
ich,wusste
wusste,nicht
nicht,wie
wie,ich
ich,ihm
ihm,näher
näher,komme
komme,wie
wie,ich
ich,ihm
ihm,beistehen
beistehen,konnte
konnte,das
das,land
land,der
der,tränen
tränen,ist
ist,voller
voller,geheimnisse
geheimnisse,schon
schon,bald
bald,lernte
lernte,ich
ich,jene
jene,blume
blume,besser
besser,kennen
kennen,auf
auf,dem
dem,planeten
planeten,des
des,kleinen
kleinen,prinzen
prinzen,hatte
hatte,es
es,schon
schon,immer
immer,blumen
blumen,gegeben
gegeben,sehr
sehr,einfache
einfache,verziert
verziert,nur
nur,mit
mit,einem
einem,kranz
kranz,von
von,blütenblättern
blütenblättern,sie
sie,waren
waren,kaum
kaum,zu
zu,bemerken
bemerken,und
und,sie
sie,störten
störten,niemanden
niemanden,sie
sie,sprossen
sprossen,eines
eines,morgens
morgens,aus
aus,dem
dem,gras
gras,und
und,am
am,abend
abend,waren
waren,sie
sie,wieder
wieder,verschwunden
verschwunden,doch
doch,eines
eines,tages
tages,keimte
keimte,ein
ein,spross
spross,aus
aus,einem
einem,samen
samen,von
von,dem
dem,keiner
keiner,wusste
wusste,woher
woher,er
er,kam
kam,und
und,der
der,kleine
kleine,prinz
prinz,überwachte
überwachte,ganz
ganz,genau
genau,diesen
diesen,kleinen
kleinen,halm
halm,der
der,nicht
nicht,so
so,aussah
aussah,wie
wie,die
die,anderen
anderen,das
das,konnte
konnte,eine
eine,neue
neue,art
art,des
des,affenbrotbaumes
affenbrotbaumes,sein
sein,doch
doch,bald
bald,schon
schon,hörte
hörte,der
der,strauch
strauch,auf
auf,zu
zu,wachsen
wachsen,und
und,eine
eine,blüte
blüte,gedieh
gedieh,heran
heran,der
der,kleine
kleine,prinz
prinz,sah
sah,zu
zu,wie
wie,eine
eine,enorme
enorme,knospe
knospe,keimte
keimte,und
und,er
er,fühlte
fühlte,es
es,würde
würde,etwas
etwas,zauberhaftes
zauberhaftes,daraus
daraus,erwachsen
erwachsen,doch
doch,die
die,blume
blume,wurde
wurde,und
und,wurde
wurde,nicht
nicht,fertig
fertig,damit
damit,sich
sich,im
im,schutze
schutze,ihrer
ihrer,grünen
grünen,kammer
kammer,herauszuputzen
herauszuputzen,sorgfältig
sorgfältig,wählte
wählte,sie
sie,ihre
ihre,farben
farben,aus
aus,langsam
langsam,zog
zog,sie
sie,sich
sich,an
an,und
und,rückte
rückte,ihre
ihre,blütenblätter
blütenblätter,eines
eines,nach
nach,dem
dem,anderen
anderen,zurecht
zurecht,sie
sie,wollte
wollte,nicht
nicht,ganz
ganz,zerknittert
zerknittert,herauskommen
herauskommen,wie
wie,die
die,mohnblumen
mohnblumen,sie
sie,wollte
wollte,nur
nur,in
in,voller
voller,schönheit
schönheit,aufblühen
aufblühen,oh
oh,ja
ja,sie
sie,war
war,sehr
sehr,eitel
eitel,so
so,hatte
hatte,sie
sie,tagelang
tagelang,vor
vor,dem
dem,spiegel
spiegel,gestanden
gestanden,und
und,dann
dann,eines
eines,morgens
morgens,als
als,die
die,sonne
sonne,aufging
aufging,hatte
hatte,sie
sie,sich
sich,gezeigt
gezeigt,und
und,sie
sie,die
die,sich
sich,so
so,sorgfältig
sorgfältig,herausgeputzt
herausgeputzt,hatte
hatte,sagte
sagte,gähnend
gähnend,ah
ah,ich
ich,bin
bin,noch
noch,ganz
ganz,verschlafen
verschlafen,sie
sie,müssen
müssen,mich
mich,entschuldigen
entschuldigen,ich
ich,bin
bin,noch
noch,ganz
ganz,zerzaust
zerzaust,der
der,kleine
kleine,prinz
prinz,konnte
konnte,seine
seine,bewunderung
bewunderung,nicht
nicht,mehr
mehr,verbergen
verbergen,wie
wie,schön
schön,sie
sie,sind
sind,das
das,ist
ist,wohl
wohl,wahr
wahr,antwortete
antwortete,die
die,blume
blume,sanftmütig
sanftmütig,und
und,ich
ich,bin
bin,im
im,gleichen
gleichen,moment
moment,geboren
geboren,wie
wie,die
die,sonne
sonne,der
der,kleine
kleine,prinz
prinz,ahnte
ahnte,dass
dass,sie
sie,nicht
nicht,sonderlich
sonderlich,bescheiden
bescheiden,war
war,aber
aber,sie
sie,war
war,dennoch
dennoch,so
so,reizend
reizend,es
es,ist
ist,bald
bald,zeit
zeit,zum
zum,frühstücken
frühstücken,fügte
fügte,sie
sie,kurz
kurz,darauf
darauf,hinzu
hinzu,hätten
hätten,sie
sie,die
die,güte
güte,an
an,mich
mich,zu
