content
Freude schöner Götterfunken
Tochter aus Elysium.
wir betreten feuertr
unken
Himmlische dein Heiligtum.
deine Zauber binden wieder
was die Mode streng geteilt
alle Menschen werden Brüder
wo dein sanfter Flügel weilt.
Wem der große Wurf gelungen
eines Freundes Freund zu sein
wer ein holdes Weib errungen
mische seinen 
Jubel ein!
Ja 
-
wer auch nur eine Seele
sein nennt auf dem Erdenrund!
Und wer's nie gekonnt der stehle
weinend sich aus diesem Bund!
Freude heißt die starke Feder
in der ewigen Natur!
Freude Freude treibt die Räder
in der großen Weltenuhr!
Blumen lockt 
sie aus den Keimen
Sonnen aus dem Firmament
Sphären rollt sie in den Räumen
die des Sehers Rohr nicht kennt!
Freude schöner Götterfunken
Tochter aus Elysium.
Wir betreten feuertrunken
Himmlische dein Heiligtum.
Deine Zauber binden wieder
was die M
ode streng geteilt
alle Menschen werden Brüder
wo dein sanfter Flügel weilt.
