word,freq
bereits,1
preis,1
glückes,1
entdecken,2
irgendwann,2
herz,6
bereithalten,1
feste,1
bräuche,1
brauch,2
oft,1
anders,2
stunde,2
jägern,1
donnerstags,1
tanzen,2
mädchen,1
dorf,2
donnerstag,1
wundervoller,1
spaziere,1
weinberg,1
sähen,1
ferien,1
zähmte,1
abschieds,1
nahte,1
keineswegs,1
wolltest,1
gewonnen,2
weizens,1
schenken,1
ansehen,1
seht,1
taugt,1
habt,1
verlegen,1
leer,1
irgendwer,1
vorbeilaufen,1
gegossen,1
geschützt,1
aufgelesen,1
klagen,1
prahlen,1
wandte,1
geopfert,2
bedeutsam,2
wahrheit,1
sollst,1
verantwortlich,5
weichensteller,7
gruppiere,1
reisenden,2
tausenderpacks,1
schicke,1
züge,1
rechts,1
links,1
erleuchteter,2
schnellzug,2
donner,2
grollte,2
häuschen,1
weichenstellers,1
erzittern,1
zugführer,1
donnerte,1
entgegengesetzte,1
richtung,1
dieselben,1
wurden,1
ausgetauscht,1
schnellzugs,1
verfolgen,2
inneren,1
drücken,1
nasen,1
scheiben,1
platt,1
wenden,1
stoffpuppe,1
wächst,2
ans,1
händler,2
handelte,1
durststillenden,1
spezialpillen,1
schluckt,1
trinken,6
verkaufst,1
spart,2
experten,1
berechnet,1
dreiundfünfzig,3
übrig,2
brunnen,13
pillenhändler,1
angehört,1
tropfen,1
wasservorrates,1
trank,2
repariert,1
verdursten,1
erklärung,1
gehabt,1
erkennt,1
suchen,6
verzweifelte,1
unendlichkeit,1
machten,2
stundenlang,1
herumgelaufen,1
herein,1
begannen,1
leuchten,2
traum,2
fieber,1
tanzten,1
bewusstsein,1
ausfragen,1
müde,1
falten,1
mond,1
stimmte,1
sanddüne,1
hört,1
leuchtet,1
versteckt,2
hält,1
rätselhafte,1
sandes,1
legende,1
jemandem,1
verzauberte,1
versteckte,1
grunde,1
herzens,1
ausmacht,1
einschlief,1
gerührt,1
trüge,1
zerbrechlichen,1
zerbrechlicheres,1
mondlicht,1
blasse,1
haarsträhnen,1
zitterten,1
sehe,1
hülle,3
eigentliche,1
halbgeöffneten,1
lippen,2
halbes,1
lächeln,2
andeuteten,1
schlafenden,1
rührt,1
treue,1
strahlt,1
flamme,1
kerze,1
zerbrechlicher,1
kerzen,1
windstoß,1
auslöschen,1
tagesanbruch,3
drängen,1
schnellzüge,1
fahren,2
kreis,1
kamen,1
üblichen,1
saharabrunnen,1
löcher,1
glich,1
dorfbrunnen,1
bereit,1
winde,2
eimer,3
seil,2
brunnenwinde,2
ächzte,1
wetterhahn,1
geschlafen,1
hörst,1
wecken,1
singt,1
anstrengt,1
schwer,3
rand,1
aufrecht,2
ohren,2
hallte,1
geräusch,2
zugwinde,1
zitternden,1
schimmern,1
dürstet,1
gib,1
gesucht,1
köstlich,2
fest,2
einfaches,1
lebensmittel,1
entstanden,1
marsch,1
gesang,1
anstrengung,1
tat,1
geschenk,3
licht,1
weihnachtsbaums,1
mitternachtsmesse,1
milde,1
lächelns,1
zauber,1
geschenks,1
bekam,1
wonach,1
ergänzte,1
blind,1
getrunken,1
atmete,1
tief,1
honig,1
honigfarbe,1
versprechen,2
gesetzt,1
welches,1
zeichenentwürfe,1
lachend,1
kohlköpfe,1
ungerecht,1
riesenschlagen,1
kritzelte,1
fall,1
jährt,1
absturz,1
ereignete,1
schmerz,1
währenddessen,1
zufall,1
spazieren,1
gingst,1
stelle,2
zurückgekehrt,1
errötete,2
zögernd,1
jahrestags,1
jaʻ,1
arbeiten,1
maschine,2
warte,1
beruhigen,1
passieren,1
zähmen,1
stand,2
steinmauer,1
zurückkam,1
weitem,1
sitzen,1
beine,1
baumelten,1
herab,1
erinnerst,2
mauer,4
spur,1
beginnt,1
meter,1
kurzen,1
gutes,1
gift,2
leiden,1
verschwinde,1
runter,1
hinab,1
fuß,1
gelben,1
schlangen,3
sekunden,1
töten,1
reckte,1
wühlte,1
revolver,1
rennen,1
gleiten,1
wasserstrahl,1
versiegt,1
eile,1
schlüpfte,1
klirrte,1
metall,1
rechtzeitig,1
schaffte,1
goldenen,1
abgebunden,1
schläfen,1
getupft,1
traute,1
blickte,1
sterbenden,1
vogels,1
gewehr,1
geschossen,1
konntest,1
hause,2
trotz,1
hoffnungslosigkeit,1
gelungen,1
kehre,1
melancholisch,2
einiges,2
passierte,1
arm,1
glitt,1
senkrecht,1
abgrund,1
imstande,1
zurückzuhalten,1
ernster,1
verlor,2
wartete,1
wärmer,1
hattest,1
richtig,1
erstarrte,2
gelähmt,1
unwiderruflichem,1
ertrug,1
heruntergefallen,1
verabredung,1
böser,1
liebst,1
gabst,1
rolle,1
seils,1
beobachten,1
zeigen,2
befindet,1
meinst,1
geleit,1
lichtpunkte,1
gelehrten,1
probleme,1
dar,1
gold,1
schaust,2
lachten,1
trost,3
gefunden,2
gekannt,1
lust,1
fenster,1
öffnen,1
anblick,1
verrückt,1
gemeinen,1
streich,1
gespielt,1
statt,1
haufen,1
glöckchen,3
geschenkt,1
verlassen,3
aussehen,3
schmerzen,1
nötig,1
beißen,2
bösartig,1
spaß,1
beruhigte,1
ausreichend,1
zweiten,1
einholte,1
entschlossen,1
schnellem,1
vorwärts,1
quälte,1
tot,1
stimmen,1
verstehst,1
körper,3
gebliebene,1
fröhlich,1
betrachten,1
verrosteten,1
lächerliche,1
rühren,1
blitzte,1
gelb,1
nah,1
schrie,1
baum,1
kameraden,1
bekamen,1
lebend,1
wiederzusehen,1
erschöpfung,1
wiedergefunden,1
zuzuhören,1
lederriemen,1
anbinden,1
geschehen,1
gefressen,3
schützt,1
wachsames,1
auge,1
zerstreut,1
abends,1
lautlos,1
ausgebrochen,1
glocken,1
gilt,1
erwachsener,1
jemals,1
bedeutung,1
traurigste,1
landschaft,3
vorigen,1
wiedererkennt,1
afrikanische,1
reist,1
vorbeikommt,1
nehmt,1
lacht,1
antwortet,1
ausfragt,1
wisst,1
freundlich,1
lasst,1
schreibt,1
